rodada,data,hora,local,casa,fora,gols_casa,gols_fora
1,21/05/2011,18:30,Arena do Jacaré - Sete Lagoas,Atlético-MG,Atlético-PR,3,0
1,21/05/2011,18:30,Presidente Vargas - Fortaleza,Ceará,Vasco,1,3
1,21/05/2011,18:30,Cláudio Moacir Azevedo - Macaé,Flamengo,Avaí,4,0
1,21/05/2011,21:00,Vila Belmiro - Santos,Santos,Internacional,1,1
1,22/05/2011,16:00,Teixeirão - São José do Rio Preto,Palmeiras,Botafogo,1,0
1,22/05/2011,16:00,Olímpico Monumental - Porto Alegre,Grêmio,Corinthians,1,2
1,22/05/2011,16:00,Couto Pereira - Curitiba,Coritiba,Atlético-GO,0,1
1,22/05/2011,16:00,Orlando Scarpelli - Florianópolis,Figueirense,Cruzeiro,1,0
1,22/05/2011,18:30,São Januário - Rio de Janeiro,Fluminense,São Paulo,0,2
1,22/05/2011,18:30,Arena do Jacaré - Sete Lagoas,América-MG,Bahia,2,1
2,28/05/2011,18:30,Beira-Rio - Porto Alegre,Internacional,Ceará,0,1
2,28/05/2011,18:30,Engenhão - Rio De Janeiro,Botafogo,Santos,1,0
2,28/05/2011,18:30,Ressacada - Florianópolis,Avaí,Atlético-MG,1,3
2,28/05/2011,21:00,Morumbi - São Paulo,São Paulo,Figueirense,1,0
2,29/05/2011,16:00,Arena da Fonte - Araraquara,Corinthians,Coritiba,2,1
2,29/05/2011,16:00,Pituaçu - Salvador,Bahia,Flamengo,3,3
2,29/05/2011,16:00,Arena da Baixada - Curitiba,Atlético-PR,Grêmio,0,1
2,29/05/2011,16:00,Arena do Jacaré - Sete Lagoas,Cruzeiro,Palmeiras,1,1
2,29/05/2011,18:30,São Januário - Rio De Janeiro,Vasco,América-MG,3,0
2,29/05/2011,18:30,Serra Dourada - Goiânia,Atlético-GO,Fluminense,0,1
3,04/06/2011,18:30,Presidente Vargas - Fortaleza,Ceará,Botafogo,2,2
3,04/06/2011,18:30,Engenhão - Rio De Janeiro,Fluminense,Cruzeiro,2,1
3,04/06/2011,18:30,Canindé - São Paulo,Palmeiras,Atlético-PR,1,0
3,04/06/2011,21:00,Orlando Scarpelli - Florianópolis,Figueirense,Atlético-GO,2,0
3,05/06/2011,16:00,Engenhão - Rio De Janeiro,Flamengo,Corinthians,1,1
3,05/06/2011,16:00,Olímpico Monumental - Porto Alegre,Grêmio,Bahia,2,0
3,05/06/2011,16:00,Couto Pereira - Curitiba,Coritiba,Vasco,5,1
3,05/06/2011,18:30,Morenão - Campo Grande,América-MG,Internacional,2,4
3,05/06/2011,18:30,Vila Belmiro - Santos,Santos,Avaí,3,1
3,08/06/2011,21:50,Arena do Jacaré - Sete Lagoas,Atlético-MG,São Paulo,0,1
4,11/06/2011,18:30,Arena do Jacaré - Sete Lagoas,Cruzeiro,Santos,1,1
4,11/06/2011,18:30,Ressacada - Florianópolis,Avaí,América-MG,2,2
4,11/06/2011,18:30,Morumbi - São Paulo,São Paulo,Grêmio,3,1
4,11/06/2011,21:00,São Januário - Rio De Janeiro,Vasco,Figueirense,1,1
4,12/06/2011,16:00,Pituaçu - Salvador,Bahia,Atlético-MG,1,1
4,12/06/2011,16:00,Serra Dourada - Goiânia,Atlético-GO,Ceará,4,1
4,12/06/2011,16:00,Beira-Rio - Porto Alegre,Internacional,Palmeiras,2,2
4,12/06/2011,16:00,Pacaembu - São Paulo,Corinthians,Fluminense,2,0
4,12/06/2011,18:30,Arena da Baixada - Curitiba,Atlético-PR,Flamengo,1,1
4,12/06/2011,18:30,Engenhão - Rio De Janeiro,Botafogo,Coritiba,3,1
5,18/06/2011,21:00,Engenhão - Rio De Janeiro,Fluminense,Bahia,0,1
5,18/06/2011,21:00,Arena do Jacaré - Sete Lagoas,América-MG,Cruzeiro,1,1
5,19/06/2011,16:00,Canindé - São Paulo,Palmeiras,Avaí,5,0
5,19/06/2011,16:00,Olímpico Monumental - Porto Alegre,Grêmio,Vasco,1,1
5,19/06/2011,16:00,Orlando Scarpelli - Florianópolis,Figueirense,Atlético-PR,2,0
5,19/06/2011,16:00,Engenhão - Rio De Janeiro,Flamengo,Botafogo,0,0
