rodada,data,hora,local,casa,fora,gols_casa,gols_fora
8,18/06/2017,11:00,Couto Pereira - Curitiba - PR,COR,COR,0,0
8,18/06/2017,16:00,Morumbi - Sao Paulo - SP,SAO,ATL,1,2
8,18/06/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,PAL,2,4
8,18/06/2017,16:00,Maracanã - Rio de Janeiro - RJ,FLU,FLA,2,2
8,18/06/2017,16:00,Arena Condá - Chapeco - SC,CHA,BOT,0,2
8,18/06/2017,19:00,Ilha do Retiro - Recife - PE,SPO,VIT,1,3
8,19/06/2017,20:00,Mineirão - Belo Horizonte - MG,CRU,GRE,3,3
9,21/06/2017,19:30,Manoel Barradas - Salvador - BA,VIT,SAN,0,2
9,21/06/2017,21:00,Nilton Santos - Rio de Janeiro - RJ,BOT,VAS,3,1
9,21/06/2017,21:00,Allianz Parque - Sao Paulo - SP,PAL,ATL,1,0
9,21/06/2017,21:45,Ressacada - Florianopolis - SC,AVA,FLU,0,3
9,21/06/2017,21:45,Independência - Belo Horizonte - MG,ATL,SPO,2,2
9,21/06/2017,21:45,Arena da Baixada - Curitiba - PR,ATL,SAO,1,0
9,22/06/2017,19:30,Moisés Lucarelli - Campinas - SP,PON,CRU,1,0
9,22/06/2017,19:30,Arena Corinthians - Sao Paulo - SP,COR,BAH,3,0
9,22/06/2017,21:00,Arena do Grêmio - Porto Alegre - RS,GRE,COR,2,0
9,22/06/2017,21:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,CHA,5,1
10,24/06/2017,19:00,Vila Belmiro - Santos - SP,SAN,SPO,0,1
10,25/06/2017,11:00,São Januário - Rio de Janeiro - RJ,VAS,ATL,1,0
10,25/06/2017,16:00,Moisés Lucarelli - Campinas - SP,PON,PAL,1,2
10,25/06/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,COR,0,1
10,25/06/2017,16:00,Arena da Baixada - Curitiba - PR,ATL,VIT,4,1
10,25/06/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,COR,2,0
10,25/06/2017,16:00,Morumbi - Sao Paulo - SP,SAO,FLU,1,1
10,25/06/2017,18:30,Arena Fonte Nova - Salvador - BA,BAH,FLA,0,1
10,25/06/2017,19:00,Arena Condá - Chapeco - SC,CHA,ATL,0,1
10,26/06/2017,20:00,Nilton Santos - Rio de Janeiro - RJ,BOT,AVA,0,2
11,01/07/2017,16:00,Pacaembu - Sao Paulo - SP,PAL,GRE,1,0
11,01/07/2017,19:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,SAN,1,1
11,02/07/2017,16:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,SAO,2,0
11,02/07/2017,16:00,Arena Corinthians - Sao Paulo - SP,COR,BOT,1,0
11,02/07/2017,16:00,Independência - Belo Horizonte - MG,ATL,CRU,3,1
11,02/07/2017,16:00,Ilha do Retiro - Recife - PE,SPO,ATL,1,0
11,02/07/2017,16:00,Manoel Barradas - Salvador - BA,VIT,BAH,0,0
11,02/07/2017,19:00,Durival Britto - Curitiba - PR,COR,VAS,2,2
11,02/07/2017,19:00,Ressacada - Florianopolis - SC,AVA,PON,0,0
11,03/07/2017,20:00,Giulite Coutinho - Mesquita - RJ,FLU,CHA,3,3
12,08/07/2017,16:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,VIT,1,2
12,08/07/2017,18:00,São Januário - Rio de Janeiro - RJ,VAS,FLA,0,1
12,08/07/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,PON,2,0
12,09/07/2017,11:00,Arena Condá - Chapeco - SC,CHA,ATL,1,1
12,09/07/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,PAL,3,1
12,09/07/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,AVA,0,2
12,09/07/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,FLU,1,1
12,09/07/2017,19:00,Vila Belmiro - Santos - SP,SAN,SAO,3,2
12,09/07/2017,19:00,Nilton Santos - Rio de Janeiro - RJ,BOT,ATL,1,1
12,10/07/2017,20:00,Couto Pereira - Curitiba - PR,COR,SPO,0,3
13,12/07/2017,19:30,Moisés Lucarelli - Campinas - SP,PON,BAH,0,3
13,12/07/2017,19:30,Independência - Belo Horizonte - MG,ATL,SAN,0,1
13,12/07/2017,21:00,Maracanã - Rio de Janeiro - RJ,FLU,BOT,0,1
13,12/07/2017,21:45,Allianz Parque - Sao Paulo - SP,PAL,COR,0,2
13,12/07/2017,21:45,Manoel Barradas - Salvador - BA,VIT,VAS,1,4
13,12/07/2017,21:45,Arena da Baixada - Curitiba - PR,ATL,CRU,0,2
13,13/07/2017,19:30,Arena Pernambuco - São Lourenço da Mata - PE,SPO,CHA,3,0
13,13/07/2017,19:30,Morumbi - Sao Paulo - SP,SAO,ATL,2,2
13,13/07/2017,19:30,Luso Brasileiro - Rio de Janeiro - RJ,FLA,GRE,0,1
13,13/07/2017,21:00,Ressacada - Florianopolis - SC,AVA,COR,1,4
14,15/07/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,ATL,2,2
14,16/07/2017,11:00,Allianz Parque - Sao Paulo - SP,PAL,VIT,4,2
14,16/07/2017,16:00,Nilton Santos - Rio de Janeiro - RJ,VAS,SAN,0,0
14,16/07/2017,16:00,Mineirão - Belo Horizonte - MG,CRU,FLA,1,1
14,16/07/2017,16:00,Arena do Grêmio - Porto Alegre - RS,GRE,PON,3,1
14,16/07/2017,16:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,ATL,1,2
14,16/07/2017,16:00,Arena Condá - Chapeco - SC,CHA,SAO,2,0
14,16/07/2017,19:00,Couto Pereira - Curitiba - PR,COR,FLU,1,2
14,16/07/2017,19:00,Pituaçu - Salvador - BA,BAH,AVA,1,1
14,17/07/2017,20:00,Nilton Santos - Rio de Janeiro - RJ,BOT,SPO,2,1
15,19/07/2017,19:30,Manoel Barradas - Salvador - BA,VIT,GRE,1,3
15,19/07/2017,19:30,Vila Belmiro - Santos - SP,SAN,CHA,1,0
15,19/07/2017,21:00,Moisés Lucarelli - Campinas - SP,PON,COR,4,0
15,19/07/2017,21:00,Ressacada - Florianopolis - SC,AVA,COR,0,0
15,19/07/2017,21:45,Luso Brasileiro - Rio de Janeiro - RJ,FLA,PAL,2,2
15,19/07/2017,21:45,Independência - Belo Horizonte - MG,ATL,BAH,0,2
15,19/07/2017,21:45,Morumbi - Sao Paulo - SP,SAO,VAS,1,0
15,20/07/2017,19:30,Giulite Coutinho - Mesquita - RJ,FLU,CRU,1,1
15,20/07/2017,20:00,Ilha do Retiro - Recife - PE,SPO,ATL,4,0
15,20/07/2017,21:00,Arena da Baixada - Curitiba - PR,ATL,BOT,0,0
16,22/07/2017,16:00,Manoel Barradas - Salvador - BA,VIT,CHA,1,2
16,22/07/2017,19:00,Luso Brasileiro - Rio de Janeiro - RJ,FLA,COR,2,1
16,23/07/2017,11:00,Pacaembu - Sao Paulo - SP,SAN,BAH,3,0
16,23/07/2017,16:00,Ressacada - Florianopolis - SC,AVA,CRU,1,0
16,23/07/2017,16:00,Maracanã - Rio de Janeiro - RJ,FLU,COR,0,1
16,23/07/2017,16:00,Arena Pernambuco - São Lourenço da Mata - PE,SPO,PAL,0,2
16,23/07/2017,19:00,Independência - Belo Horizonte - MG,ATL,VAS,1,2
16,23/07/2017,19:00,Arena da Baixada - Curitiba - PR,ATL,PON,0,2
16,23/07/2017,19:00,Olímpico Pedro Ludovico - Goiania - GO,ATL,BOT,1,1
16,24/07/2017,20:00,Morumbi - Sao Paulo - SP,SAO,GRE,1,1
17,29/07/2017,16:00,Nilton Santos - Rio de Janeiro - RJ,BOT,SAO,3,4
17,29/07/2017,19:00,Allianz Parque - Sao Paulo - SP,PAL,AVA,2,0
17,30/07/2017,11:00,Arena Condá - Chapeco - SC,CHA,ATL,1,2
17,30/07/2017,16:00,Couto Pereira - Curitiba - PR,COR,ATL,0,2
17,30/07/2017,16:00,Arena Fonte Nova - Salvador - BA,BAH,SPO,1,3
17,30/07/2017,16:00,Arena Corinthians - Sao Paulo - SP,COR,FLA,1,1
17,30/07/2017,19:00,Mineirão - Belo Horizonte - MG,CRU,VIT,0,0
17,30/07/2017,19:00,Arena do Grêmio - Porto Alegre - RS,GRE,SAN,1,1
17,31/07/2017,20:00,Raulino de Oliveira - Volta Redonda - RJ,VAS,ATL,0,1
17,09/08/2017,20:00,Moisés Lucarelli - Campinas - SP,PON,FLU,0,0
18,02/08/2017,19:30,Ilha do Retiro - Recife - PE,SPO,FLU,2,2
18,02/08/2017,19:30,Arena Condá - Chapeco - SC,CHA,BAH,1,1
18,02/08/2017,21:00,Mineirão - Belo Horizonte - MG,ATL,COR,0,2
18,02/08/2017,21:00,Manoel Barradas - Salvador - BA,VIT,PON,3,1
18,02/08/2017,21:45,Nilton Santos - Rio de Janeiro - RJ,BOT,PAL,1,2
18,02/08/2017,21:45,Pacaembu - Sao Paulo - SP,SAN,FLA,3,2
18,02/08/2017,21:45,Olímpico Pedro Ludovico - Goiania - GO,ATL,GRE,0,1
18,03/08/2017,19:30,Arena da Baixada - Curitiba - PR,ATL,AVA,5,0
18,03/08/2017,19:30,Morumbi - Sao Paulo - SP,SAO,COR,1,2
18,03/08/2017,20:00,Raulino de Oliveira - Volta Redonda - RJ,VAS,CRU,0,3
19,05/08/2017,19:00,Arena Corinthians - Sao Paulo - SP,COR,SPO,3,1
